Issue,Item id,Type,ID,Titre du backlog,Origine,Score,2e candidat
"Configurer les outils de CI/CD (GitHub Actions, Vercel/Railway pour déploiement)",PVTI_lAHOBpi5Is4AzO_WzgXxsrI,Issue,,,aucun,0.26,COM-11 (0.19)
Consultation de la collection et intégration avec le scan,PVTI_lAHOBpi5Is4AzO_Wzgo-RR4,Issue,,,aucun,0.33,COL-01 (0.32)
Consultation et gestion des tournois,PVTI_lAHOBpi5Is4AzO_Wzgo-RJk,Issue,MOB-07,Consultation des tournois sur mobile,auto,0.68,TRN-02 (0.37)
Contrôles d’accès (rôles/ownership),PVTI_lAHOBpi5Is4AzO_WzgdnanA,Issue,SEC-03,Contrôles d'ownership sur les ressources de l'API,manuel,1.00,SEC-02 (0.28)
Copier un deck existant,PVTI_lAHOBpi5Is4AzO_WzgmPLj4,Issue,COL-09,Dupliquer un deck existant,manuel,1.00,COL-06 (0.26)
Copier un deck existant (système de partage de code),PVTI_lAHOBpi5Is4AzO_WzgfZQms,Issue,COL-14,Partage public d'un deck via URL courte,manuel,1.00,COL-14 (0.29)
Création d'une pipeline CI CD,PVTI_lAHOBpi5Is4AzO_Wzgg1jRI,Issue,,,aucun,0.21,CAT-11 (0.20)
"Création des entités principales (Tournoi, Match, Joueur, Classement, Statistiques)",PVTI_lAHOBpi5Is4AzO_WzgXxtAM,Issue,TRN-01,Entité Tournament et formulaire de création (réservé aux comptes pro),manuel,1.00,COM-01 (0.22)
Créer des seeds,PVTI_lAHOBpi5Is4AzO_WzgcQrR8,Issue,,,aucun,0.21,COM-03 (0.18)
Créer la logique métier pour les tournois,PVTI_lAHOBpi5Is4AzO_WzgeIqNw,Issue,TRN-04,"Moteur de tournoi : brackets, seeding, transitions d'état, standings",manuel,1.00,TRN-06 (0.30)
Créer la page marketplace/index.tsx avec liste des cartes en vente,PVTI_lAHOBpi5Is4AzO_Wzgb_c2Q,Issue,MKT-02,"Catalogue marketplace : filtres, tri, pagination",manuel,1.00,COL-08 (0.24)
Créer la page principale de gestion des decks pour l'utilisateur connecté,PVTI_lAHOBpi5Is4AzO_WzgfZOKg,Issue,COL-07,"Pages « Mes decks » : liste, détail, création, édition",manuel,1.00,COL-02 (0.24)
Créer le schéma de base de données,PVTI_lAHOBpi5Is4AzO_Wzgb_gg8,Issue,QUA-06,Documentation du schéma de base de données,manuel,1.00,MOB-02 (0.24)
Créer les entités principales,PVTI_lAHOBpi5Is4AzO_WzgYAPlo,Issue,,,aucun,0.28,COL-06 (0.26)
"Créer les routes REST : GET /ventes, GET /ventes/:id, POST /ventes",PVTI_lAHOBpi5Is4AzO_Wzgb_cXU,Issue,,,aucun,0.23,IA-01 (0.20)
Créer page de détails de tournois,PVTI_lAHOBpi5Is4AzO_WzgeH6_M,Issue,,,manuel,1.00,TRN-06 (0.30)
Créer un bouton “Rejoindre” qui appelle PATCH /tournois/:id/join,PVTI_lAHOBpi5Is4AzO_Wzgb_bKE,Issue,,,aucun,0.24,TRN-15 (0.21)
Créer un formulaire Mettre en vente une carte,PVTI_lAHOBpi5Is4AzO_Wzgb_dEs,Issue,MKT-01,Entité Listing et formulaire de mise en vente,auto,0.44,CAT-03 (0.23)
Créer une page marketplace/[id].tsx pour les détails d’une vente,PVTI_lAHOBpi5Is4AzO_Wzgb_dJc,Issue,,,aucun,0.26,MOB-02 (0.26)
Créer une page tournois/create.tsx avec formulaire de création,PVTI_lAHOBpi5Is4AzO_Wzgb_aXk,Issue,,,aucun,0.32,MKT-01 (0.26)
Créer une page tournois/index.tsx avec liste des tournois disponibles,PVTI_lAHOBpi5Is4AzO_Wzgb_Z_U,Issue,,,aucun,0.27,TRN-12 (0.26)
Créer une section “Mes tournois” dans la page profil,PVTI_lAHOBpi5Is4AzO_Wzgb_bWM,Issue,,,aucun,0.33,MKT-03 (0.32)
Dockeriser le projet,PVTI_lAHOBpi5Is4AzO_Wzgfb84A,Issue,,,aucun,0.17,COL-09 (0.16)
Définir l'entité Sale,PVTI_lAHOBpi5Is4AzO_Wzgb_cN4,Issue,,,aucun,0.21,COM-05 (0.18)
Définir l'entité tournoi,PVTI_lAHOBpi5Is4AzO_Wzgb_ZHc,Issue,,,aucun,0.27,TRN-13 (0.24)
Défis quotidiens / hebdomadaires,PVTI_lAHOBpi5Is4AzO_WzgmPLPk,Issue,COM-02,Défis quotidiens et hebdomadaires,auto,0.98,COL-11 (0.15)
EPIC - Clean code,PVTI_lAHOBpi5Is4AzO_Wzgb_dcI,Issue,,,aucun,0.19,CAT-04 (0.16)
EPIC - Collection & Decks,PVTI_lAHOBpi5Is4AzO_WzgdnYJI,Issue,,,aucun,0.34,COL-02 (0.33)
EPIC - Gamification,PVTI_lAHOBpi5Is4AzO_WzgfZQu4,Issue,,,aucun,0.20,CAT-18 (0.17)
EPIC - IA & Outils stratégiques,PVTI_lAHOBpi5Is4AzO_Wzgdnaxc,Issue,,,aucun,0.29,COM-08 (0.19)
EPIC - Marketplace,PVTI_lAHOBpi5Is4AzO_Wzgb_bxY,Issue,,,aucun,0.29,MKT-02 (0.26)
EPIC - Support & Fidélisation,PVTI_lAHOBpi5Is4AzO_WzgfZSQI,Issue,,,aucun,0.33,CAT-18 (0.31)
EPIC - Tournois,PVTI_lAHOBpi5Is4AzO_Wzgb_YlE,Issue,,,aucun,0.33,TRN-02 (0.32)
Endpoint Join Tournament,PVTI_lAHOBpi5Is4AzO_WzgdnZzs,Issue,TRN-03,Inscription à un tournoi et affichage des participants,manuel,1.00,TRN-01 (0.20)
Endpoint analyzeDeck (squelette),PVTI_lAHOBpi5Is4AzO_WzgfZO-w,Issue,IA-01,Endpoint d'analyse de deck (POST /ai/analyzeDeck),manuel,1.00,COL-11 (0.18)
Endpoint analyzeDeck (squelette),PVTI_lAHOBpi5Is4AzO_Wzgdna2A,Issue,,,écarté (doublon de « Endpoint analyzeDeck (squelette) »),1.00,COL-11 (0.18)
Export de deck au format PDF/Image,PVTI_lAHOBpi5Is4AzO_WzgfZQWQ,Issue,COL-11,"Export de deck en PDF, CSV ou image",manuel,1.00,GME-06 (0.49)
FAQ dynamique et centre d'aide,PVTI_lAHOBpi5Is4AzO_WzgfZSbc,Issue,COM-05,Foire aux questions,manuel,1.00,GME-03 (0.18)
Finaliser le jeu TCG en ligne,PVTI_lAHOBpi5Is4AzO_WzgqJXyI,Issue,GME-04,Matchs casual entre joueurs via passerelle Socket.io,manuel,1.00,MOB-13 (0.19)
Fix bugs soutenance,PVTI_lAHOBpi5Is4AzO_WzgivkuM,Issue,,,aucun,0.15,GME-08 (0.15)
Fix du seed service,PVTI_lAHOBpi5Is4AzO_WzgemfDs,Issue,,,aucun,0.24,QUA-03 (0.20)
Formulaire de création/édition de deck avec sélection de cartes,PVTI_lAHOBpi5Is4AzO_WzgfZOos,Issue,COL-08,"Formulaire interactif de deck avec sélection de cartes, quantités et rôles",auto,0.55,TRN-01 (0.30)
Front : CTA “Analyser mon deck”,PVTI_lAHOBpi5Is4AzO_Wzgdna90,Issue,,,manuel,1.00,COL-09 (0.25)
Historique des tournois d'un joueur (ELO),PVTI_lAHOBpi5Is4AzO_WzgfZPnA,Issue,TRN-06,Historique des tournois d'un joueur,manuel,1.00,TRN-02 (0.32)
Implémenter le CRUD tournois,PVTI_lAHOBpi5Is4AzO_Wzgb_ZhE,Issue,,,aucun,0.31,TRN-06 (0.31)
Interface d'analyse de deck côté front,PVTI_lAHOBpi5Is4AzO_WzgfZPKg,Issue,IA-02,Page d'analyse stratégique avec graphique radar,manuel,1.00,MOB-09 (0.31)
"Marketplace : corrections critiques, améliorations fonctionnelles et UX",PVTI_lAHOBpi5Is4AzO_WzgmU7DU,Issue,,,aucun,0.24,MOB-02 (0.23)
"Mettre en place l’authentification et l’autorisation (JWT, OAuth si nécessaire)",PVTI_lAHOBpi5Is4AzO_WzgXxsjk,Issue,,,"écarté (doublon de « Authentification - Login, Register, Mot  »)",0.42,SEC-11 (0.24)
Mettre à jour la documentation API (Postman ou Swagger),PVTI_lAHOBpi5Is4AzO_Wzgb_eA4,Issue,,,aucun,0.24,QUA-09 (0.21)
Modèles & migrations Collection/Deck,PVTI_lAHOBpi5Is4AzO_WzgdnYg0,Issue,,,aucun,0.32,COL-01 (0.30)
Mosbahissue,PVTI_lAHOBpi5Is4AzO_WzgdHrgA,PullRequest,,,aucun,0.15,COM-03 (0.14)
Page My Collection (listing + filtres),PVTI_lAHOBpi5Is4AzO_WzgdnZQI,Issue,COL-02,Page « Ma collection » avec listing et filtres,auto,0.93,TRN-02 (0.43)
Page My Decks (liste + create/edit + stats),PVTI_lAHOBpi5Is4AzO_WzgdnZqU,Issue,,,écarté (doublon de « Créer la page principale de gestion des  »),0.37,COL-02 (0.25)
Page actualités / annonces de tournois,PVTI_lAHOBpi5Is4AzO_WzgqJbo0,Issue,TRN-12,Page d'actualités et d'annonces de tournois (module article),auto,0.71,TRN-02 (0.28)
Page de détail d'un deck,PVTI_lAHOBpi5Is4AzO_WzgfZO04,Issue,,,aucun,0.28,COL-14 (0.28)
Plan de test manuel complet pour les tournois,PVTI_lAHOBpi5Is4AzO_WzgfZRjk,Issue,,,aucun,0.27,MOB-07 (0.24)
Pouvoir jouer au TCG en ligne,PVTI_lAHOBpi5Is4AzO_WzgmwQYo,Issue,,,aucun,0.21,CAT-16 (0.20)
Probleme collection etat pv etc (?),PVTI_lAHOBpi5Is4AzO_WzgwAaqk,Issue,COL-05,"Suivi de l'état des cartes (card-state : NM, EX, GD…)",manuel,1.00,COL-02 (0.30)
Profil public utilisateur,PVTI_lAHOBpi5Is4AzO_WzgmPMOI,Issue,COM-08,Profil public utilisateur,auto,1.00,MOB-08 (0.40)
Protéger les routes avec JwtAuthGuard,PVTI_lAHOBpi5Is4AzO_Wzgb_ZoY,Issue,,,aucun,0.24,TRN-02 (0.19)
Rapports / analytics pour les organisateurs de tournois,PVTI_lAHOBpi5Is4AzO_WzgqJayU,Issue,TRN-09,"Rapports et analytics organisateurs (participation, activité, performances)",manuel,1.00,TRN-15 (0.27)
Rapports/analytics pour les organisateurs de tournois,PVTI_lAHOBpi5Is4AzO_WzgfZSfM,Issue,,,écarté (doublon de « Rapports / analytics pour les organisate »),1.00,TRN-15 (0.27)
Refacto de la partie marketplace,PVTI_lAHOBpi5Is4AzO_WzggiqUg,Issue,MKT-04,"Refonte complète : accueil, catalogue, détail carte, profil vendeur, fil d'Ariane",manuel,1.00,MKT-02 (0.26)
Refaire la page d'accueil,PVTI_lAHOBpi5Is4AzO_WzgcuYVQ,Issue,CAT-03,Page d'accueil avec carte aléatoire,auto,0.43,COL-02 (0.22)
Rendre la barre de recherche fonctionnelle,PVTI_lAHOBpi5Is4AzO_Wzgeo2k8,Issue,,,aucun,0.33,MOB-05 (0.23)
Scan OCR de cartes Pokémon pour import de collection,PVTI_lAHOBpi5Is4AzO_Wzgo-Q84,Issue,IA-05,"Scan OCR de cartes (Tesseract, extraction de zones d'intérêt)",manuel,1.00,IA-03 (0.41)
Section Mes ventes (profil),PVTI_lAHOBpi5Is4AzO_Wzgb_dOI,Issue,MKT-03,"Section « Mes ventes » : édition, suppression, activation",auto,0.49,MOB-02 (0.23)
Suivre un autre utilisateur,PVTI_lAHOBpi5Is4AzO_WzgmPLyw,Issue,,,aucun,0.34,COM-14 (0.27)
Système d'achat de cartes,PVTI_lAHOBpi5Is4AzO_Wzghg0xU,Issue,MKT-07,Panier (user_cart) et entités Order / OrderItem,manuel,1.00,COM-03 (0.28)
Système de badges / succès (achievements),PVTI_lAHOBpi5Is4AzO_WzgfZRG0,Issue,COM-03,Système de badges et de succès,manuel,1.00,COM-10 (0.25)
Système de notifications in-app + push,PVTI_lAHOBpi5Is4AzO_WzgqJaTw,Issue,COM-06,Notifications in-app et push avec enregistrement des appareils,manuel,1.00,COM-06 (0.57)
Système de notifications tournois (push/email),PVTI_lAHOBpi5Is4AzO_WzgfZPgg,Issue,TRN-10,Notifications de tournoi in-app et push,manuel,1.00,COM-06 (0.36)
Système de recommandations de cartes pour collection,PVTI_lAHOBpi5Is4AzO_WzgfZQKI,Issue,IA-03,Recommandations de cartes personnalisées pour la collection,manuel,1.00,CAT-04 (0.30)
Système de tickets support/aide,PVTI_lAHOBpi5Is4AzO_WzgfZSUU,Issue,COM-04,Tickets de support et fil de messages,manuel,1.00,CAT-18 (0.25)
Tableau de bord utilisateur (stats personnelles),PVTI_lAHOBpi5Is4AzO_WzgfZRao,Issue,COM-01,Tableau de bord utilisateur avec statistiques personnelles,manuel,1.00,COL-10 (0.29)
Test manuel d'un tournoi,PVTI_lAHOBpi5Is4AzO_WzgfQ8yo,Issue,,,manuel,1.00,TRN-03 (0.24)
Tests end to end,PVTI_lAHOBpi5Is4AzO_WzguC48s,Issue,QUA-05,Tests e2e des tournois sur base PostgreSQL éphémère,manuel,1.00,QUA-17 (0.27)
"Tests unitaires NestJS, middleware de logs, schéma BDD",PVTI_lAHOBpi5Is4AzO_WzgqJcH8,Issue,,,manuel,1.00,QUA-06 (0.22)
UI Join + Participants list,PVTI_lAHOBpi5Is4AzO_WzgdnaD4,Issue,,,aucun,0.28,CAT-17 (0.16)
Vérifier les droits utilisateur avant création (@CurrentUser()),PVTI_lAHOBpi5Is4AzO_Wzgb_cxM,Issue,,,aucun,0.25,COL-07 (0.25)
ajouter des nouveaux role pro et customer pour le user,PVTI_lAHOBpi5Is4AzO_WzgcusMg,Issue,SEC-02,Rôles pro / customer et RolesGuard,auto,0.39,GME-06 (0.21)
creer une collection initiale wishlist,PVTI_lAHOBpi5Is4AzO_WzgerJBk,Issue,COL-03,Wishlist (liste de souhaits),manuel,1.00,COL-02 (0.30)
