ID,Title,Epic,Status,Priority,Version,Horizon,Tech category,Assignee,Due date,Public
TRN-12,Page d'actualités et d'annonces de tournois (module article),TRN — Tournois & Compétition,Todo,P2,V1.0,Next,Full-stack,soldrix,2026-12-15,true
TRN-13,Enchaînement complet tournoi en ligne → match en ligne,TRN — Tournois & Compétition,Todo,P1,V1.0,Next,Full-stack,Jounayd,2026-12-15,true
TRN-14,"Formats additionnels : ronde suisse complète, double élimination",TRN — Tournois & Compétition,Todo,P2,V1.1,Next,,,,true
TRN-15,Billetterie payante pour les tournois physiques,TRN — Tournois & Compétition,Backlog,P2,,Backlog,,,,false
TRN-16,Mode spectateur et retransmission de feature match,TRN — Tournois & Compétition,Backlog,P3,,Backlog,,,,false
GME-01,Moteur de règles et parseur d'effets de cartes (effect-parser),GME — Jeu en ligne & Mini-jeux,Done,P1,V0.4,Shipped,,,,true
GME-02,Architecture de combat et machine d'état de match,GME — Jeu en ligne & Mini-jeux,Done,P1,V0.4,Shipped,,,,true
GME-03,Matchs d'entraînement contre une IA,GME — Jeu en ligne & Mini-jeux,Done,P2,V0.4,Shipped,,,,true
GME-04,Matchs casual entre joueurs via passerelle Socket.io,GME — Jeu en ligne & Mini-jeux,Done,P1,V0.4,Shipped,,,,true
GME-05,"Interface de plateau et overlays (tirage au sort, invites)",GME — Jeu en ligne & Mini-jeux,Done,P2,V0.4,Shipped,,,,true
GME-06,Import / export de deck au format JSON pour le jeu,GME — Jeu en ligne & Mini-jeux,Done,P2,V0.4,Shipped,,,,true
GME-07,Timers d'inactivité et abandon automatique,GME — Jeu en ligne & Mini-jeux,Done,P1,V0.5,Shipped,,,,true
GME-08,Mini-jeux communautaires (module mini-game),GME — Jeu en ligne & Mini-jeux,Done,P2,V0.5,Shipped,,,,true
GME-09,Leaderboard des mini-jeux et gains d'expérience,GME — Jeu en ligne & Mini-jeux,In progress,P2,V0.6,Now,Back-end,Jounayd,2026-09-15,true
GME-10,Matchmaking par niveau ELO,GME — Jeu en ligne & Mini-jeux,Todo,P2,V1.1,Next,,,,true
GME-11,Replay de match et mode spectateur en direct,GME — Jeu en ligne & Mini-jeux,Backlog,P3,,Backlog,,,,false
IA-01,Endpoint d'analyse de deck (POST /ai/analyzeDeck),IA — Intelligence artificielle & Scan,Done,P1,V0.4,Shipped,,,,true
IA-02,Page d'analyse stratégique avec graphique radar,IA — Intelligence artificielle & Scan,Done,P1,V0.5,Shipped,,,,true
IA-03,Recommandations de cartes personnalisées pour la collection,IA — Intelligence artificielle & Scan,Done,P1,V0.5,Shipped,,,,true
IA-04,"Pipeline de vision : filtrage, rognage automatique, correction d'orientation",IA — Intelligence artificielle & Scan,Done,P0,V0.5,Shipped,,,,true
IA-05,"Scan OCR de cartes (Tesseract, extraction de zones d'intérêt)",IA — Intelligence artificielle & Scan,Done,P0,V0.5,Shipped,,,,true
IA-06,Désambiguïsation visuelle par similarité CLIP,IA — Intelligence artificielle & Scan,Done,P1,V0.5,Shipped,,,,true
IA-07,Capture en rafale (best-of-N frames) et optimisation mémoire,IA — Intelligence artificielle & Scan,Done,P1,V0.5,Shipped,,,,true
IA-08,Suggestion d'alternatives de cartes moins coûteuses à effet équivalent,IA — Intelligence artificielle & Scan,Todo,P2,V1.1,Next,,,,true
IA-09,Prédiction de tendance de prix sur historique,IA — Intelligence artificielle & Scan,Backlog,P2,,Backlog,,,,false
IA-10,Estimation assistée de l'état d'une carte par photo (pré-grading),IA — Intelligence artificielle & Scan,Backlog,P3,,Backlog,,,,false
IA-11,Assistant conversationnel de deckbuilding,IA — Intelligence artificielle & Scan,Backlog,P3,,Backlog,,,,false
COM-01,Tableau de bord utilisateur avec statistiques personnelles,COM — Communauté & Social,Done,P1,V0.4,Shipped,,,,true
COM-02,Défis quotidiens et hebdomadaires,COM — Communauté & Social,Done,P2,V0.4,Shipped,,,,true
COM-03,Système de badges et de succès,COM — Communauté & Social,Done,P2,V0.5,Shipped,,,,true
COM-04,Tickets de support et fil de messages,COM — Communauté & Social,Done,P1,V0.4,Shipped,,,,true
COM-05,Foire aux questions,COM — Communauté & Social,Done,P2,V0.4,Shipped,,,,true
COM-06,Notifications in-app et push avec enregistrement des appareils,COM — Communauté & Social,Done,P1,V0.5,Shipped,,,,true
COM-07,Système de follow entre utilisateurs,COM — Communauté & Social,Done,P1,V0.5,Shipped,,,,true
COM-08,Profil public utilisateur,COM — Communauté & Social,Done,P1,V0.5,Shipped,,,,true
COM-09,Flux communautaire : publication de posts et partage de decks,COM — Communauté & Social,In progress,P1,V0.6,Now,Full-stack,soldrix,2026-09-15,true
COM-10,"Boutique d'échange de points (XP, badges, cosmétiques)",COM — Communauté & Social,In progress,P2,V0.6,Now,Back-end,soldrix,2026-09-30,true
COM-11,"Préférences fines de notification (push, e-mail, par catégorie)",COM — Communauté & Social,In progress,P2,V0.6,Now,Full-stack,peron-h,2026-09-15,true
COM-12,Commentaires et réactions sur les publications,COM — Communauté & Social,Todo,P1,V1.0,Next,Full-stack,soldrix,2026-12-15,true
COM-13,Modération : signalement de contenu et outils modérateur,COM — Communauté & Social,Todo,P0,V1.1,Next,,,,true
COM-14,Messagerie privée entre utilisateurs,COM — Communauté & Social,Backlog,P2,,Backlog,,,,false
COM-15,Clubs et groupes locaux,COM — Communauté & Social,Backlog,P3,,Backlog,,,,false
COM-16,Carte des événements et boutiques partenaires géolocalisées,COM — Communauté & Social,Backlog,P3,,Backlog,,,,false
MOB-01,"Initialisation Expo, architecture et navigation",MOB — Application mobile,Done,P0,V0.4,Shipped,,,,true
MOB-02,"Écrans de base : marketplace, collection, profil",MOB — Application mobile,Done,P0,V0.4,Shipped,,,,true
MOB-03,Services d'accès à l'API depuis le mobile,MOB — Application mobile,Done,P0,V0.4,Shipped,,,,true
MOB-04,Authentification mobile et stockage sécurisé des jetons,MOB — Application mobile,Done,P0,V0.5,Shipped,,,,true
MOB-05,"Collection et Pokédex mobile avec tri, recherche et filtres complexes",MOB — Application mobile,Done,P1,V0.5,Shipped,,,,true
MOB-06,Scan OCR embarqué relié à la collection,MOB — Application mobile,Done,P0,V0.5,Shipped,,,,true
MOB-07,Consultation des tournois sur mobile,MOB — Application mobile,Done,P1,V0.5,Shipped,,,,true
MOB-08,Vues mobiles du profil public et des follows,MOB — Application mobile,In progress,P2,V0.6,Now,Mobile,Jounayd,2026-09-30,true
MOB-09,Interface de scan en rafale et mode révision,MOB — Application mobile,In progress,P2,V0.6,Now,Mobile,aymardl,2026-09-30,true
MOB-10,SSO Google et Discord sur mobile,MOB — Application mobile,In progress,P1,V0.6,Now,Mobile,Jounayd,2026-09-15,true
MOB-11,Notifications push natives en production (FCM / APNs),MOB — Application mobile,Todo,P1,V1.0,Next,Mobile,peron-h,2026-11-30,true
MOB-12,Publication sur l'App Store et Google Play,MOB — Application mobile,Todo,P0,V1.1,Next,,,,true
MOB-13,Mode hors-ligne de la collection,MOB — Application mobile,Backlog,P2,,Backlog,,,,false
SEC-01,Authentification par JWT et sessions,SEC — Compte & Sécurité,Done,P0,V0.2,Shipped,,,,true
SEC-02,Rôles pro / customer et RolesGuard,SEC — Compte & Sécurité,Done,P0,V0.2,Shipped,,,,true
SEC-03,Contrôles d'ownership sur les ressources de l'API,SEC — Compte & Sécurité,Done,P0,V0.2,Shipped,,,,true
SEC-04,Rotation des refresh tokens — cf. ADR-002,SEC — Compte & Sécurité,Done,P0,V0.3,Shipped,,,,true
SEC-05,Réinitialisation de mot de passe par e-mail,SEC — Compte & Sécurité,Done,P1,V0.4,Shipped,,,,true
SEC-06,Préférences de thème (clair / sombre / système) et de devise (EUR / USD),SEC — Compte & Sécurité,Done,P2,V0.5,Shipped,,,,true
SEC-07,SSO Google et Discord (OAuth2 côté backend),SEC — Compte & Sécurité,In progress,P1,V0.6,Now,Back-end,raphplt,2026-08-31,true
SEC-08,Vérification d'e-mail à l'inscription — contre-mesure pré-mortem,SEC — Compte & Sécurité,Todo,P0,V1.0,Next,Back-end,Jounayd,2026-10-31,true
SEC-09,Rate limiting et protection anti-bruteforce,SEC — Compte & Sécurité,Todo,P0,V1.0,Next,Back-end,raphplt,2026-11-30,true
SEC-10,Conformité RGPD : export et suppression de compte,SEC — Compte & Sécurité,Todo,P0,V1.0,Next,Back-end,raphplt,2026-12-15,true
SEC-11,Double authentification (2FA),SEC — Compte & Sécurité,Todo,P1,V1.1,Next,,,,true
SEC-12,Audit de sécurité par un tiers avant montée en charge,SEC — Compte & Sécurité,Backlog,P2,,Backlog,,,,false
QUA-01,"Pipeline CI GitHub Actions : lint, types, tests, build","QUA — Qualité, Infrastructure & Data",Done,P0,V0.4,Shipped,,,,true
QUA-02,Déploiement continu Coolify + Docker + Cloudflare Tunnel,"QUA — Qualité, Infrastructure & Data",Done,P0,V0.5,Shipped,,,,true
QUA-03,Dockerfiles de déploiement pour l'ensemble des services,"QUA — Qualité, Infrastructure & Data",Done,P0,V0.5,Shipped,,,,true
QUA-04,Tests unitaires NestJS (721 tests verts),"QUA — Qualité, Infrastructure & Data",Done,P0,V0.5,Shipped,,,,true
QUA-05,Tests e2e des tournois sur base PostgreSQL éphémère,"QUA — Qualité, Infrastructure & Data",Done,P1,V0.5,Shipped,,,,true
QUA-06,Documentation du schéma de base de données,"QUA — Qualité, Infrastructure & Data",Done,P1,V0.5,Shipped,,,,true
QUA-07,Registre de décisions d'architecture (5 ADR),"QUA — Qualité, Infrastructure & Data",Done,P1,V0.5,Shipped,,,,true
QUA-08,Synchronisation automatique GitHub → GitLab ETNA,"QUA — Qualité, Infrastructure & Data",Done,P2,V0.5,Shipped,,,,true
QUA-09,Middleware de journalisation et d'audit des requêtes API,"QUA — Qualité, Infrastructure & Data",In progress,P2,V0.6,Now,Back-end,peron-h,2026-08-31,true
QUA-10,"Migrations TypeORM et désactivation de synchronize en production — pré-mortem, ADR-004","QUA — Qualité, Infrastructure & Data",Todo,P0,V1.0,Next,Data,Jounayd,2026-10-31,true
QUA-11,Environnement de staging distinct de la production — pré-mortem,"QUA — Qualité, Infrastructure & Data",Todo,P0,V1.0,Next,Infra,soldrix,2026-10-31,true
QUA-12,Rollback par images Docker taggées (3 dernières versions) — pré-mortem,"QUA — Qualité, Infrastructure & Data",Todo,P0,V1.0,Next,Infra,soldrix,2026-11-15,true
QUA-13,"Monitoring Sentry, health check et alerting — pré-mortem","QUA — Qualité, Infrastructure & Data",Todo,P0,V1.0,Next,Infra,soldrix,2026-11-15,true
QUA-14,Couverture de tests frontend ≥ 50 % et e2e Cypress — pré-mortem,"QUA — Qualité, Infrastructure & Data",Todo,P0,V1.0,Next,QA,aymardl,2026-12-15,true
QUA-15,Suppression des console.log et logger structuré (Pino) — pré-mortem,"QUA — Qualité, Infrastructure & Data",Todo,P0,V1.0,Next,Back-end,peron-h,2026-10-31,true
QUA-16,Cache Redis sur les endpoints les plus sollicités — pré-mortem,"QUA — Qualité, Infrastructure & Data",Todo,P1,V1.0,Next,Back-end,Jounayd,2026-11-30,true
QUA-17,Tests de charge avant l'ouverture publique,"QUA — Qualité, Infrastructure & Data",Todo,P1,V1.0,Next,QA,peron-h,2026-12-15,true
QUA-18,Observabilité distribuée (traces OpenTelemetry),"QUA — Qualité, Infrastructure & Data",Backlog,P3,,Backlog,,,,false
